"region","year","avgtmp","tmax","tmin","avgprecip","totalprecip","pmax","pmin","total","drought","drought_percent"
"Maranhão","2003",27.5679296532063,33.0333339758594,22.1535357417482,112.85303235705,0,505.100006103516,0,396,137,0.345959595959596
"Maranhão","2004",27.3406569403831,32.800505695921,21.9315659927599,135.943941579022,0,553,0.699999988079071,396,139,0.351010101010101
"Maranhão","2005",27.8133842535693,33.2787886003051,22.398990303579,116.690405944908,0,628.900024414062,0,396,151,0.381313131313131
"Maranhão","2006",27.4358589528787,32.9012631551184,22.0214650028884,133.542426591946,0,723.200012207031,0.100000001490116,396,122,0.308080808080808
"Maranhão","2007",27.6616165854714,33.1270208503261,22.2472225439669,114.950507195742,0,596.100036621094,0.100000001490116,396,139,0.351010101010101
"Maranhão","2008",27.2929296541696,32.7583338804919,21.8785357716108,134.702527692636,0,568.900024414062,0,396,146,0.368686868686869
"Maranhão","2009",27.1558084825073,32.6212127521785,21.7414145036177,152.06515409233,0,740.5,0.600000023841858,396,122,0.308080808080808
"Maranhão","2010",27.8457074502502,33.311111859601,22.4313135002599,114.029800532273,0,515.600036621094,0,396,133,0.335858585858586
"Maranhão","2011",27.1901518455659,32.6555561634025,21.7757579581906,145.522476925279,0,640,0.100000001490116,396,130,0.328282828282828
"Maranhão","2012",27.5386367470327,33.0040410167039,22.1242428163085,112.286365727828,0,781.5,0.100000001490116,396,151,0.381313131313131
"Maranhão","2013",27.6494953608272,33.1148996979299,22.235101357855,130.975002603756,0,616.600036621094,0.100000001490116,396,120,0.303030303030303
"Maranhão","2014",27.3055559553281,32.7709602249993,21.8911619668055,127.782325443332,0,637.700012207031,0.100000001490116,396,138,0.348484848484849
"Maranhão","2015",27.7530306806468,33.218435075548,22.3386367258399,102.076517207228,0,695.900024414062,0.400000005960464,396,172,0.434343434343434
"Maranhão","2016",28.1227277216285,33.5881320972635,22.7083337138398,109.539900657316,0,637.700012207031,0.100000001490116,396,139,0.351010101010101
"Maranhão","2017",27.7275255906461,33.1929299325654,22.3131316647385,120.843688527593,0,694,0,396,143,0.361111111111111
"Mato Grosso","1991",25.8303307140912,31.978829385282,19.7322075689161,150.81959649096,200891.702525958,439.700012207031,0,1332,344,0.258258258258258
"Mato Grosso","1992",25.522898275931,31.6564570174919,19.4394147417567,152.711713673843,203412.002613559,428.399993896484,0,1332,323,0.242492492492492
"Mato Grosso","1993",25.7005259095728,31.8548053606852,19.596697047666,148.517944487304,197825.902057089,442.100006103516,0,1332,319,0.239489489489489
"Mato Grosso","1994",25.9946700688955,32.154655253207,19.8841595356171,155.953830326608,207730.501995042,411,0,1332,327,0.245495495495495
"Mato Grosso","1995",25.9875379138523,32.1475981950044,19.8759763727675,157.547674747301,209853.502763405,544.700012207031,0,1332,344,0.258258258258258
"Mato Grosso","1996",25.6442946743321,31.80292848209,19.5347601293444,151.432209054428,201707.702460498,431.200012207031,0,1332,340,0.255255255255255
"Mato Grosso","1997",26.1607361169191,32.3223729348397,20.0479733535835,152.713890645636,203414.902339987,496.899993896484,0,1332,308,0.231231231231231
"Mato Grosso","1998",26.2911415501042,32.4587093244444,20.1722225656023,154.175302119668,205361.502423398,494.700012207031,0,1332,322,0.241741741741742
"Mato Grosso","1999",26.0529283145527,32.2191447638893,19.9359613424307,148.370347108407,197629.302348398,459.600006103516,0,1332,393,0.295045045045045
"Mato Grosso","2000",25.9032285936602,32.0708714619771,19.7851355040038,150.587689813954,200582.802832186,470.800018310547,0,1332,342,0.256756756756757
"Mato Grosso","2001",26.0114868596509,32.1805561813148,19.8913667388148,155.356833634881,206935.302401662,445.899993896484,0,1332,324,0.243243243243243
